Airport_name,Antwerp International Airport,IATA,Country
Brussels,Brussels Airport,BRU,Belgium
Brussels,Brussels South Charleroi Airport,CRL,Belgium
Liège,Liège Airport,LGG,Belgium
Ostend,Ostend-Bruges International Airport,OST,Belgium
Ajaccio,Campo dell'Oro Airport,AJA,France
Bastia,Poretta Airport,BIA,Unknown
Beauvais,Beauvais-Tillé Airport,BVA,Unknown
Bergerac,Bergerac-Roumanière Airport,EGC,Unknown
Béziers,Béziers Cap d'Agde Airport,BZR,Unknown
Biarritz,Biarritz Airport,BIQ,Unknown
Bordeaux,Mérignac Airport,BOD,France
Brest,Brest Bretagne Airport,BES,Unknown
Carcassonne,Salvaza Airport,CCF,Unknown
Châlons-en-Champagne,Châlons Vatry Airport,XCR,Unknown
Chambéry,Chambéry-Savoie Airport,CMF,Unknown
Dinard,Pleurtuit Airport,DNR,Unknown
Figari,Figari Sud-Corse Airport,FSC,Unknown
Grenoble,Grenoble-Isère Airport,GNB,Unknown
Ile de Re,Île de Ré Airport,LRH,Unknown
Lille,Lille Lesquin Airport,LIL,Unknown
Limoges,Bellegarde Airport,LIG,Unknown
Lyon,Saint-Exupéry Airport,LYS,France
Marseille,Provence Airport,MRS,France
Mulhouse,Basel-Mulhouse-Freiburg Airport,BSL,Unknown
Nantes,Nantes Atlantique Airport,NTE,France
Nice,Côte d'Azur Airport,NCE,France
Nîmes,Garons Airport,FNI,Unknown
Paris,Charles de Gaulle Airport,CDG,France
Paris,Orly Airport,ORY,France
Pau,Uzein Airport,PUF,Unknown
Perpignan,Llabanère Airport,PGF,Unknown
Poitiers,Biard Airport,PIS,Unknown
Rodez,Marcillac Airport,RDZ,Unknown
Saint Etienne,Bouthéon Airport,EBU,Unknown
Strasbourg,Strasbourg Airport,SXB,Unknown
Toulon,Hyères Le Palyvestre Airport,TLN,Unknown
Toulouse,Blagnac Airport,TLS,France
Tours,Tours Loire Valley Airport,TUF,Unknown
Gibraltar,North Front Airport,GIB,Unknown
Guernsey,Guernsey Airport,GCI,Unknown
Jersey,Jersey Airport,JER,Unknown
Cork,Cork Airport,ORK,Unknown
Dublin,Dublin Airport,DUB,Ireland
Kerry,Kerry Airport,KIR,Unknown
Knock,Ireland West Airport Knock,NOC,Unknown
Shannon,Shannon Airport,SNN,Unknown
Isle of Man,Isle of Man Airport,IOM,Unknown
Luxembourg City,Findel Airport,LUX,Unknown
Amsterdam,Amsterdam Airport Schiphol,AMS,Netherlands
Eindhoven,Eindhoven Airport,EIN,Netherlands
Groningen,Groningen Airport Eelde,GRQ,Unknown
Maastricht,Maastricht-Aachen Airport,MST,Unknown
Rotterdam,Rotterdam The Hague Airport,RTM,Netherlands
Beja,Beja Airport,BYJ,Unknown
Faro,Faro Airport,FAO,Portugal
Funchal,Madeira Airport,FNC,Portugal
Porto Santo Island,Porto Santo Airport,PXO,Unknown
Lisbon,Humberto Delgado Airport,LIS,Portugal
Porto,Francisco Sá Carneiro Airport,OPO,Portugal
Ponta Delgada,João Paulo II Airport,PDL,Portugal
